code;type;label-de_DE;label-en_US;label-fr_FR
optical_fiber_137;RELATED;;Optical fiber;
mouse_156;RELATED;;Mouse;
management_features_93;RELATED;;Management features;
license_6;RELATED;;License;
input_capacity_18;RELATED;;Input capacity;
endurance_32;RELATED;;Endurance;
storage_controllers_61;RELATED;;Storage controllers;
print_technology_20;RELATED;;Print technology;
ports_interfaces_12;RELATED;;Ports & interfaces;
output_capacity_17;RELATED;;Output capacity;
networking_35;RELATED;;Networking;
call_management_118;RELATED;;Call management;
hard_drive_2;RELATED;;Hard drive;
gps_performance_55;RELATED;;GPS Performance;
architecture_support_87;RELATED;;Architecture support;
processor_special_features_183;RELATED;;Processor special features;
reading_speed_88;RELATED;;Reading speed;
media_types_103;RELATED;;Media types;
power_27;RELATED;;Power;
system_requirements_8;RELATED;;System requirements;
packaging_data_67;RELATED;;Packaging data;
messaging_50;RELATED;;Messaging;
bandwidth_23;RELATED;;Bandwidth;
viewfinder_94;RELATED;;Viewfinder;
answering_machine_113;RELATED;;Answering machine;
thin_client_100;RELATED;;Thin Client;
general;RELATED;;;
shutter_145;RELATED;;Shutter;
internal_i_o_59;RELATED;;Internal I/O;
input_device_49;RELATED;;Input device;
mobile_networking_175;RELATED;;Mobile networking;
material_119;RELATED;;Material;
technical_details_0;RELATED;;Technical details;
projector_44;RELATED;;Projector;
handset_128;RELATED;;Handset;
colour_36;RELATED;;Colour;
file_formats_141;RELATED;;File formats;
protocols_34;RELATED;;Protocols;
bios_127;RELATED;;BIOS;
multimedia_186;RELATED;;Multimedia;
data_transmission_62;RELATED;;Data transmission;
features_185;RELATED;;Features;
light_exposure_21;RELATED;;Light exposure;
wireless_lan_features_91;RELATED;;Wireless LAN features;
picture_quality_22;RELATED;;Picture quality;
amplifier_134;RELATED;;Amplifier;
lamps_65;RELATED;;Lamps;
display_5;RELATED;;Display;
sound_emission_38;RELATED;;Sound emission;
processor_1;RELATED;;Processor;
ethernet_lan_features_112;RELATED;;Ethernet LAN features;
performance_184;RELATED;;Performance;
power_over_ethernet_poe_174;RELATED;;Power over Ethernet (PoE);
other_features_146;RELATED;;Other features;
print_quality_16;RELATED;;Print quality;
lens_system_13;RELATED;;Lens system;
i_o_configuration_190;RELATED;;I/O configuration;
certificates_76;RELATED;;Certificates;
scanning_24;RELATED;;Scanning;
graphics_163;RELATED;;Graphics;
design_148;RELATED;;Design;
record_modes_48;RELATED;;Record modes;
printing_15;RELATED;;Printing;
paper_handling_40;RELATED;;Paper handling;
audio_9;RELATED;;Audio;
access_time_33;RELATED;;Access time;
packaging_content_116;RELATED;;Packaging content;
operational_conditions_28;RELATED;;Operational conditions;
phone_features_42;RELATED;;Phone features;
memory_3;RELATED;;Memory;
media_weight_104;RELATED;;Media weight;
keyboard_31;RELATED;;Keyboard;
expansion_slots_124;RELATED;;Expansion slots;
receiver_150;RELATED;;Receiver;
video_45;RELATED;;Video;
modem_46;RELATED;;Modem;
language_101;RELATED;;Language;
loudspeakers_53;RELATED;;Loudspeakers;
back_panel_i_o_ports_60;RELATED;;Back panel I/O ports;
consumables_39;RELATED;;Consumables;
fax_26;RELATED;;Fax;
focusing_85;RELATED;;Focusing;
antenna_125;RELATED;;Antenna;
inner_carton_114;RELATED;;Inner carton;
media_formats_19;RELATED;;Media formats;
ergonomics_96;RELATED;;Ergonomics;
dsl_features_92;RELATED;;DSL features;
battery_143;RELATED;;Battery;
writing_speed_89;RELATED;;Writing speed;
indication_79;RELATED;;Indication;
flash_86;RELATED;;Flash;
weight_dimensions_14;RELATED;;Weight & dimensions;
camera_95;RELATED;;Camera;
display_resolution_37;RELATED;;Display resolution;
storage_47;RELATED;;Storage;
gps_type_56;RELATED;;GPS type;
security_75;RELATED;;Security;
outer_carton_115;RELATED;;Outer carton;
copying_25;RELATED;;Copying;
software_90;RELATED;;Software;
navigation_54;RELATED;;Navigation;
