code;type;group;useable_as_grid_filter;label-en_US;label-fr_FR;label-de_DE;localizable;allowed_extensions;metric_family;default_metric_unit;decimals_allowed;negative_allowed
sku;pim_catalog_identifier;general;1;SKU;SKU;SKU;;;;;;
title;pim_catalog_text;general;1;Title;Title;Title;;;;;;
description;pim_catalog_textarea;general;1;Description;Description;Description;1;;;;;
short_description;pim_catalog_textarea;general;1;"Short Description";"Short Description";"Short Description";1;;;;;
image;pim_catalog_image;general;1;Image;Image;Image;;png,jpg,jpeg;;;;
url;pim_catalog_text;general;1;URL;URL;URL;1;;;;;
warranty_info;pim_catalog_textarea;general;1;"Warranty Info";"Warranty Info";"Warranty Info";1;;;;;
cable_length_1266;pim_catalog_metric;technical_details_0;1;"Cable length";;;;;Length;METER;1;1
connector_2_5640;pim_catalog_text;technical_details_0;;"Connector 2";;;;;;;;
weight_94;pim_catalog_metric;technical_details_0;1;Weight;;;;;Weight;GRAM;1;1
networking_standards_1802;pim_catalog_multiselect;other_features_146;;"Networking standards";;;;;;;;
magnetically_shielded_2747;pim_catalog_boolean;technical_details_0;;"Magnetically shielded";;;;;;;;
package_weight_762;pim_catalog_metric;technical_details_0;1;"Package weight";;;;;Weight;GRAM;1;1
length_2738;pim_catalog_metric;technical_details_0;;Length;;;;;Length;MILLIMETER;1;1
connector_contacts_plating_7361;pim_catalog_simpleselect;technical_details_0;;"Connector contacts plating";;;;;;;;
colour_of_product_1766;pim_catalog_multiselect;design_148;1;"Colour of product";;;;;;;;
connector_1_5639;pim_catalog_text;technical_details_0;;"Connector 1";;;;;;;;
connector_type_7141;pim_catalog_text;technical_details_0;;"Connector type";;;;;;;;
cable_colour_1272;pim_catalog_simpleselect;technical_details_0;;"Cable colour";;;;;;;;
minimum_processor_67;pim_catalog_text;system_requirements_8;;"Minimum processor";;;;;;;;
license_type_1559;pim_catalog_simpleselect;license_6;;"License type";;;;;;;;
minimum_ram_68;pim_catalog_metric;system_requirements_8;;"Minimum RAM";;;;;Binary;MEGABYTE;1;1
number_of_years_3834;pim_catalog_number;other_features_146;1;"Number of years";;;;;;;1;1
size_1147;pim_catalog_metric;technical_details_0;;Size;;;;;Length;INCH;1;1
software_type_2971;pim_catalog_simpleselect;technical_details_0;;"Software type";;;;;;;;
server_operating_systems_supported_7989;pim_catalog_multiselect;software_90;;"Server operating systems supported";;;;;;;;
localization_1561;pim_catalog_text;technical_details_0;;Localization;;;;;;;;
version_7098;pim_catalog_text;features_185;;Version;;;;;;;;
platform_75;pim_catalog_text;technical_details_0;;Platform;;;;;;;;
package_dimensions_wxdxh_582;pim_catalog_text;technical_details_0;;"Package dimensions (WxDxH)";;;;;;;;
windows_operating_systems_supported_7986;pim_catalog_multiselect;software_90;;"Windows operating systems supported";;;;;;;;
components_1881;pim_catalog_text;other_features_146;;Components;;;;;;;;
dimensions_wxdxh_49;pim_catalog_text;technical_details_0;1;"Dimensions (WxDxH)";;;;;;;;
compatible_operating_systems_2507;pim_catalog_textarea;technical_details_0;1;"Compatible operating systems";;;;;;;;
media_types_supported_477;pim_catalog_text;technical_details_0;;"Media types supported";;;;;;;;
license_quantity_1558;pim_catalog_text;license_6;;"License quantity";;;;;;;;
weight_5736;pim_catalog_text;technical_details_0;;Weight;;;;;;;;
mac_operating_systems_supported_7987;pim_catalog_multiselect;software_90;;"Mac operating systems supported";;;;;;;;
bundled_software_251;pim_catalog_textarea;software_90;;"Bundled software";;;;;;;;
64_bit_computing_6088;pim_catalog_boolean;architecture_support_87;;"64-bit computing";;;;;;;;
mac_compatibility_853;pim_catalog_simpleselect;technical_details_0;1;"Mac compatibility";;;;;;;;
language_version_1560;pim_catalog_multiselect;language_101;;"Language version";;;;;;;;
minimum_system_requirements_861;pim_catalog_textarea;system_requirements_8;;"Minimum system requirements";;;;;;;;
minimum_hard_disk_space_66;pim_catalog_metric;system_requirements_8;;"Minimum hard disk space";;;;;Binary;MEGABYTE;1;1
software_version_2307;pim_catalog_text;technical_details_0;;"Software version";;;;;;;;
compatibility_890;pim_catalog_textarea;technical_details_0;1;Compatibility;;;;;;;;
minimum_system_requirements_for_macintosh_493;pim_catalog_textarea;other_features_146;;"Minimum system requirements for Macintosh";;;;;;;;
technical_features_2143;pim_catalog_textarea;technical_details_0;;"Technical features";;;;;;;;
non_operating_relative_humidity_non_condensing_621;pim_catalog_text;technical_details_0;;"Non-operating relative humidity (non-condensing)";;;;;;;;
fade_resistance_archivability_dye_ink_5879;pim_catalog_text;technical_details_0;;"Fade-resistance (archivability, dye ink)";;;;;;;;
printing_media_gloss_level_2116;pim_catalog_text;technical_details_0;;"Printing media gloss level";;;;;;;;
mounting_1867;pim_catalog_text;other_features_146;;Mounting;;;;;;;;
stacking_number_for_pallet_2066;pim_catalog_text;technical_details_0;;"Stacking number for pallet";;;;;;;;
roll_length_16906;pim_catalog_metric;technical_details_0;;"Roll length";;;;;Length;METER;1;1
euro_pallet_quantity_3293;pim_catalog_number;other_features_146;;"Euro pallet quantity";;;;;;;1;1
media_size_1_slide_1682;pim_catalog_text;technical_details_0;;"Media size (1 slide)";;;;;;;;
width_4157;pim_catalog_metric;other_features_146;;Width;;;;;Length;INCH;1;1
printing_material_waterfastness_2051;pim_catalog_text;technical_details_0;;"Printing material waterfastness";;;;;;;;
printing_material_smoothness_2050;pim_catalog_text;technical_details_0;;"Printing material smoothness";;;;;;;;
number_of_cartons_per_pallet_1679;pim_catalog_text;technical_details_0;;"Number of cartons per pallet";;;;;;;;
length_10722;pim_catalog_metric;other_features_146;;Length;;;;;Length;METER;1;1
number_of_layers_per_pallet_1680;pim_catalog_text;technical_details_0;;"Number of layers per pallet";;;;;;;;
fade_resistance_note_indoor_home_or_office_7077;pim_catalog_text;technical_details_0;;"Fade-resistance note (indoor home or office)";;;;;;;;
country_of_origin_3294;pim_catalog_simpleselect;technical_details_0;;"Country of origin";;;;;;;;
pallet_weight_513;pim_catalog_metric;technical_details_0;;"Pallet weight";;;;;Weight;KILOGRAM;1;1
package_weight_5950;pim_catalog_text;technical_details_0;;"Package weight";;;;;;;;
case_or_master_carton_dimensions_w_x_d_x_h_751;pim_catalog_text;weight_dimensions_14;;"Case or master carton dimensions (W x D x H)";;;;;;;;
storage_relative_humidity_h_h_1383;pim_catalog_text;technical_details_0;1;"Storage relative humidity (H-H)";;;;;;;;
pallet_dimensions_w_x_d_x_h_530;pim_catalog_text;technical_details_0;;"Pallet dimensions (W x D x H)";;;;;;;;
media_weight_8650;pim_catalog_number;other_features_146;;"Media weight";;;;;;;1;1
package_dimensions_w_x_d_x_h_5722;pim_catalog_text;technical_details_0;;"Package dimensions (W x D x H)";;;;;;;;
pallet_size_eu_4824;pim_catalog_text;other_features_146;;"Pallet size (EU)";;;;;;;;
pallet_weight_5693;pim_catalog_metric;technical_details_0;;"Pallet weight";;;;;Weight;POUND;1;1
operating_temperature_t_t_2020;pim_catalog_text;technical_details_0;;"Operating temperature (T-T)";;;;;;;;
printing_material_lamination_2047;pim_catalog_text;technical_details_0;;"Printing material lamination";;;;;;;;
core_size_5934;pim_catalog_text;technical_details_0;;"Core size";;;;;;;;
quantity_per_pallet_732;pim_catalog_number;technical_details_0;;"Quantity per pallet";;;;;;;1;1
printing_media_thickness_1775;pim_catalog_text;technical_details_0;;"Printing media thickness";;;;;;;;
fade_resistance_note_indoor_commercial_window_7076;pim_catalog_text;technical_details_0;;"Fade-resistance note (indoor commercial window)";;;;;;;;
printing_material_opacity_2048;pim_catalog_text;technical_details_0;;"Printing material opacity";;;;;;;;
core_size_5935;pim_catalog_text;technical_details_0;;"Core size";;;;;;;;
stacking_number_for_carton_2065;pim_catalog_text;technical_details_0;;"Stacking number for carton";;;;;;;;
printing_material_gloss_level_2046;pim_catalog_text;technical_details_0;;"Printing material gloss level";;;;;;;;
printing_material_shelf_life_2049;pim_catalog_text;technical_details_0;;"Printing material shelf life";;;;;;;;
printing_material_whiteness_2052;pim_catalog_text;technical_details_0;;"Printing material whiteness";;;;;;;;
type_finish_2254;pim_catalog_simpleselect;technical_details_0;;"Type finish";;;;;;;;
roll_dimensions_1707;pim_catalog_text;technical_details_0;;"Roll dimensions";;;;;;;;
operating_temperature_t_t_1112;pim_catalog_text;technical_details_0;1;"Operating temperature (T-T)";;;;;;;;
operating_relative_humidity_h_h_703;pim_catalog_text;technical_details_0;1;"Operating relative humidity (H-H)";;;;;;;;
retail_only_6132;pim_catalog_text;technical_details_0;;"Retail only";;;;;;;;
printing_material_brightness_2044;pim_catalog_text;technical_details_0;;"Printing material brightness";;;;;;;;
larger_master_carton_dimensions_w_x_d_x_h_487;pim_catalog_text;weight_dimensions_14;;"Larger master carton dimensions (W x D x H)";;;;;;;;
storage_temperature_t_t_757;pim_catalog_text;technical_details_0;1;"Storage temperature (T-T)";;;;;;;;
pallet_dimensions_w_x_d_x_h_5699;pim_catalog_text;technical_details_0;;"Pallet dimensions (W x D x H)";;;;;;;;
printing_material_lightfastness_home_office_indoor_ink_on_colour_basis_2259;pim_catalog_text;technical_details_0;;"Printing material lightfastness (home/office/indoor) ink on colour basis";;;;;;;;
drying_time_printing_media_2114;pim_catalog_text;technical_details_0;;"Drying time printing media";;;;;;;;
printing_material_lightfastness_home_office_indoor_uv_ink_2263;pim_catalog_text;technical_details_0;;"Printing material lightfastness (home/office/indoor) UV ink";;;;;;;;
euro_pallet_weight_3288;pim_catalog_metric;other_features_146;;"Euro pallet weight";;;;;Weight;KILOGRAM;1;1
printing_material_dry_time_2045;pim_catalog_text;technical_details_0;;"Printing material dry time";;;;;;;;
quantity_per_box_2055;pim_catalog_number;technical_details_0;;"Quantity per box";;;;;;;1;1
width_1649;pim_catalog_metric;weight_dimensions_14;1;Width;;;;;Length;MILLIMETER;1;1
frequency_band_1769;pim_catalog_text;technical_details_0;;"Frequency band";;;;;;;;
survival_wind_speed_21720;pim_catalog_number;features_185;;"Survival wind speed";;;;;;;1;1
quick_installation_guide_4921;pim_catalog_simpleselect;packaging_content_116;;"Quick installation guide";;;;;;;;
antenna_gain_2_4_ghz_7685;pim_catalog_number;features_185;;"Antenna gain (2.4 GHz)";;;;;;;1;1
power_requirements_780;pim_catalog_text;technical_details_0;1;"Power requirements";;;;;;;;
maximum_operating_distance_1937;pim_catalog_metric;other_features_146;;"Maximum operating distance";;;;;Length;METER;1;1
connector_s_1496;pim_catalog_text;technical_details_0;1;Connector(s);;;;;;;;
unspsc_code_2505;pim_catalog_text;technical_details_0;;UNSPSC-code;;;;;;;;
power_consumption_5687;pim_catalog_number;power_27;;"Power consumption";;;;;;;1;1
vertical_beam_width_2_4_ghz_7690;pim_catalog_number;features_185;;"Vertical beam width (2.4 GHz)";;;;;;;1;1
cable_type_1280;pim_catalog_text;other_features_146;;"Cable type";;;;;;;;
frequency_range_1498;pim_catalog_text;technical_details_0;;"Frequency range";;;;;;;;
vertical_beam_width_2997;pim_catalog_number;other_features_146;;"Vertical beam width";;;;;;;1;1
horizontal_beam_width_2_4_ghz_7687;pim_catalog_number;features_185;;"Horizontal beam width (2.4 GHz)";;;;;;;1;1
impedance_1889;pim_catalog_number;audio_9;;Impedance;;;;;;;1;1
package_width_3808;pim_catalog_metric;weight_dimensions_14;1;"Package width";;;;;Length;MILLIMETER;1;1
cables_included_1830;pim_catalog_multiselect;packaging_data_67;;"Cables included";;;;;;;;
type_31;pim_catalog_text;technical_details_0;1;Type;;;;;;;;
antenna_gain_level_max_1804;pim_catalog_number;antenna_125;;"Antenna gain level (max)";;;;;;;1;1
diameter_2931;pim_catalog_metric;technical_details_0;;Diameter;;;;;Length;MILLIMETER;1;1
gain_2251;pim_catalog_number;antenna_125;;Gain;;;;;;;1;1
purpose_2585;pim_catalog_text;performance_184;;Purpose;;;;;;;;
package_type_4463;pim_catalog_text;technical_details_0;;"Package type";;;;;;;;
package_depth_3806;pim_catalog_metric;weight_dimensions_14;;"Package depth";;;;;Length;MILLIMETER;1;1
vertical_beam_width_5_ghz_7689;pim_catalog_number;features_185;;"Vertical beam width (5 GHz)";;;;;;;1;1
horizontal_beam_width_2995;pim_catalog_number;other_features_146;;"Horizontal beam width";;;;;;;1;1
depth_1650;pim_catalog_metric;weight_dimensions_14;1;Depth;;;;;Length;MILLIMETER;1;1
quantity_1675;pim_catalog_number;other_features_146;1;Quantity;;;;;;;1;1
protection_features_8072;pim_catalog_multiselect;design_148;;"Protection features";;;;;;;;
network_connection_type_1803;pim_catalog_text;networking_35;;"Network connection type";;;;;;;;
power_handling_2994;pim_catalog_metric;features_185;;"Power handling";;;;;Power;WATT;1;1
housing_material_5214;pim_catalog_multiselect;design_148;;"Housing material";;;;;;;;
horizontal_beam_width_5_ghz_7688;pim_catalog_number;features_185;;"Horizontal beam width (5 GHz)";;;;;;;1;1
network_architecture_70;pim_catalog_text;other_features_146;;"Network architecture";;;;;;;;
indoor_range_1589;pim_catalog_textarea;other_features_146;;"Indoor range";;;;;;;;
outdoor_range_1590;pim_catalog_textarea;other_features_146;;"Outdoor range";;;;;;;;
compliance_industry_standards_793;pim_catalog_text;other_features_146;;"Compliance industry standards";;;;;;;;
gender_3230;pim_catalog_simpleselect;technical_details_0;1;Gender;;;;;;;;
package_height_3807;pim_catalog_metric;weight_dimensions_14;1;"Package height";;;;;Length;MILLIMETER;1;1
stand_included_10505;pim_catalog_boolean;technical_details_0;;"Stand included";;;;;;;;
manual_3965;pim_catalog_simpleselect;packaging_data_67;;Manual;;;;;;;;
polarization_2993;pim_catalog_text;features_185;;Polarization;;;;;;;;
certification_249;pim_catalog_textarea;certificates_76;1;Certification;;;;;;;;
modulation_1503;pim_catalog_multiselect;wireless_lan_features_91;;Modulation;;;;;;;;
height_1464;pim_catalog_metric;weight_dimensions_14;1;Height;;;;;Length;MILLIMETER;1;1
antenna_type_1494;pim_catalog_text;antenna_125;;"Antenna type";;;;;;;;
international_protection_ip_code_7900;pim_catalog_simpleselect;technical_details_0;;"International Protection (IP) code";;;;;;;;
antenna_gain_5_ghz_7686;pim_catalog_number;features_185;;"Antenna gain (5 GHz)";;;;;;;1;1
maximum_cable_loss_with_connectors_2126;pim_catalog_number;technical_details_0;;"Maximum cable loss with connectors";;;;;;;1;1
compatible_products_2190;pim_catalog_textarea;other_features_146;1;"Compatible products";;;;;;;;
voltage_standing_wave_ratio_vswr_2998;pim_catalog_text;features_185;;"Voltage Standing Wave Ratio (VSWR)";;;;;;;;
colour_46;pim_catalog_boolean;other_features_146;1;Colour;;;;;;;;
mounting_kit_8165;pim_catalog_boolean;packaging_data_67;;"Mounting kit";;;;;;;;
rohs_compliance_6694;pim_catalog_boolean;certificates_76;;"RoHS compliance";;;;;;;;
antenna_connector_type_2991;pim_catalog_text;antenna_125;;"Antenna connector type";;;;;;;;
lock_type_8102;pim_catalog_multiselect;technical_details_0;;"Lock type";;;;;;;;
material_898;pim_catalog_multiselect;design_148;;Material;;;;;;;;
slot_type_84;pim_catalog_text;technical_details_0;;"Slot type";;;;;;;;
security_lock_1353;pim_catalog_text;technical_details_0;;"Security lock";;;;;;;;
functions_2431;pim_catalog_text;other_features_146;;Functions;;;;;;;;
special_features_86;pim_catalog_textarea;technical_details_0;;"Special features";;;;;;;;
warranty_1448;pim_catalog_text;other_features_146;;Warranty;;;;;;;;
lock_management_20316;pim_catalog_text;technical_details_0;;"Lock management";;;;;;;;
product_type_14052;pim_catalog_text;technical_details_0;;"Product type";;;;;;;;
cable_diameter_5804;pim_catalog_metric;other_features_146;;"Cable diameter";;;;;Length;MILLIMETER;1;1
weight_14;pim_catalog_metric;other_features_146;;Weight;;;;;Weight;KILOGRAM;1;1
cable_lock_security_features_8112;pim_catalog_multiselect;technical_details_0;;"Cable lock security features";;;;;;;;
case_or_master_carton_quantity_777;pim_catalog_number;other_features_146;;"Case or master carton quantity";;;;;;;1;1
cable_construction_20301;pim_catalog_text;technical_details_0;;"Cable construction";;;;;;;;
quantity_per_pack_7834;pim_catalog_number;packaging_data_67;;"Quantity per pack";;;;;;;1;1
security_features_248;pim_catalog_text;performance_184;;"Security features";;;;;;;;
dimensions_w_x_d_x_h_5307;pim_catalog_number;other_features_146;;"Dimensions (W x D x H)";;;;;;;1;1
number_of_keys_provided_8103;pim_catalog_simpleselect;technical_details_0;;"Number of keys provided";;;;;;;;
power_management_1376;pim_catalog_boolean;technical_details_0;;"Power management";;;;;;;;
scan_type_537;pim_catalog_text;scanning_24;;"Scan type";;;;;;;;
power_consumption_typical_445;pim_catalog_metric;technical_details_0;1;"Power consumption (typical)";;;;;Power;WATT;1;1
maximum_resolution_1659;pim_catalog_text;other_features_146;;"Maximum resolution";;;;;;;;
printing_colours_2037;pim_catalog_multiselect;performance_184;1;"Printing colours";;;;;;;;
enhanced_scan_resolution_737;pim_catalog_text;scanning_24;;"Enhanced scan resolution";;;;;;;;
jetdirect_compatible_products_805;pim_catalog_text;other_features_146;;"JetDirect Compatible Products";;;;;;;;
package_length_4932;pim_catalog_metric;other_features_146;;"Package length";;;;;Length;MILLIMETER;1;1
copy_resolution_black_graphics_741;pim_catalog_text;copying_25;;"Copy resolution (black graphics)";;;;;;;;
maximum_number_of_paper_trays_3298;pim_catalog_simpleselect;input_capacity_18;;"Maximum number of paper trays";;;;;;;;
custom_media_sizes_458;pim_catalog_text;other_features_146;;"Custom media sizes";;;;;;;;
copy_resolution_black_text_534;pim_catalog_text;other_features_146;;"Copy resolution (black text)";;;;;;;;
scan_file_formats_2001;pim_catalog_multiselect;other_features_146;;"Scan file formats";;;;;;;;
modem_type_1257;pim_catalog_text;other_features_146;;"Modem type";;;;;;;;
standard_output_capacity_846;pim_catalog_number;output_capacity_17;;"Standard output capacity";;;;;;;1;1
supported_network_protocols_557;pim_catalog_text;other_features_146;;"Supported network protocols";;;;;;;;
finished_output_handling_504;pim_catalog_text;output_capacity_17;;"Finished output handling";;;;;;;;
print_quality_black_normal_quality_697;pim_catalog_number;other_features_146;;"Print quality (black, normal quality)";;;;;;;1;1
fax_speed_a4_492;pim_catalog_number;fax_26;;"Fax speed (A4)";;;;;;;1;1
recommended_media_weight_842;pim_catalog_text;paper_handling_40;;"Recommended media weight";;;;;;;;
print_technology_78;pim_catalog_simpleselect;technical_details_0;1;"Print technology";;;;;;;;
standard_input_trays_764;pim_catalog_text;other_features_146;;"Standard input trays";;;;;;;;
standard_media_sizes_769;pim_catalog_textarea;other_features_146;;"Standard media sizes";;;;;;;;
compatible_network_operating_systems_742;pim_catalog_text;other_features_146;;"Compatible network operating systems";;;;;;;;
fax_speed_dialing_max_numbers_2000;pim_catalog_number;fax_26;;"Fax speed dialing (max numbers)";;;;;;;1;1
power_supply_1242;pim_catalog_metric;technical_details_0;;"Power supply";;;;;Power;WATT;1;1
battery_recharge_time_1535;pim_catalog_number;other_features_146;;"Battery recharge time";;;;;;;1;1
maximum_input_capacity_for_transparencies_540;pim_catalog_number;input_capacity_18;;"Maximum input capacity for transparencies";;;;;;;1;1
battery_type_908;pim_catalog_text;other_features_146;;"Battery type";;;;;;;;
print_speed_colour_best_quality_a4_527;pim_catalog_number;printing_15;;"Print speed (colour, best quality, A4)";;;;;;;1;1
maximum_input_capacity_for_labels_724;pim_catalog_text;input_capacity_18;;"Maximum input capacity for labels";;;;;;;;
standard_printer_languages_459;pim_catalog_multiselect;printing_15;;"Standard printer languages";;;;;;;;
control_panel_2084;pim_catalog_text;other_features_146;;"Control panel";;;;;;;;
image_scaling_enlargement_range_2006;pim_catalog_text;other_features_146;;"Image scaling/enlargement range";;;;;;;;
auto_document_feeder_adf_input_capacity_823;pim_catalog_number;input_capacity_18;;"Auto document feeder (ADF) input capacity";;;;;;;1;1
