label-en_US;code;attributes;requirements-ecommerce;requirements-mobile;requirements-print
"parallel cables";parallel_cables_1638;sku,title,description,short_description,image,url,warranty_info,cable_length_1266,connector_2_5640,weight_94,networking_standards_1802,magnetically_shielded_2747,package_weight_762,length_2738,connector_contacts_plating_7361,colour_of_product_1766,connector_1_5639,connector_type_7141,cable_colour_1272;sku,title,description,short_description,image,url,warranty_info,weight_94,colour_of_product_1766;sku,title,description,short_description,image,url,warranty_info,weight_94,colour_of_product_1766;sku,title,description,short_description,image,url,warranty_info,weight_94,colour_of_product_1766
"office suites";office_suites_12;sku,title,description,short_description,image,url,warranty_info,minimum_processor_67,license_type_1559,package_weight_762,minimum_ram_68,number_of_years_3834,size_1147,software_type_2971,server_operating_systems_supported_7989,localization_1561,version_7098,platform_75,package_dimensions_wxdxh_582,windows_operating_systems_supported_7986,components_1881,dimensions_wxdxh_49,compatible_operating_systems_2507,media_types_supported_477,license_quantity_1558,weight_5736,mac_operating_systems_supported_7987,bundled_software_251,64_bit_computing_6088,weight_94,mac_compatibility_853,language_version_1560,minimum_system_requirements_861,minimum_hard_disk_space_66;sku,title,description,short_description,image,url,warranty_info,dimensions_wxdxh_49,weight_94;sku,title,description,short_description,image,url,warranty_info,dimensions_wxdxh_49,weight_94;sku,title,description,short_description,image,url,warranty_info,dimensions_wxdxh_49,weight_94
"development software";development_software_51;sku,title,description,short_description,image,url,warranty_info,minimum_processor_67,license_type_1559,license_quantity_1558,software_version_2307,minimum_ram_68,software_type_2971,compatibility_890,platform_75,mac_compatibility_853,language_version_1560,minimum_system_requirements_861,minimum_hard_disk_space_66,compatible_operating_systems_2507,media_types_supported_477,minimum_system_requirements_for_macintosh_493;sku,title,description,short_description,image,url,warranty_info;sku,title,description,short_description,image,url,warranty_info;sku,title,description,short_description,image,url,warranty_info
"matt white films";matt_white_films_844;sku,title,description,short_description,image,url,warranty_info,technical_features_2143,non_operating_relative_humidity_non_condensing_621,fade_resistance_archivability_dye_ink_5879,printing_media_gloss_level_2116,mounting_1867,stacking_number_for_pallet_2066,roll_length_16906,compatibility_890,euro_pallet_quantity_3293,package_dimensions_wxdxh_582,media_size_1_slide_1682,width_4157,printing_material_waterfastness_2051,printing_material_smoothness_2050,number_of_cartons_per_pallet_1679,length_10722,media_types_supported_477,number_of_layers_per_pallet_1680,fade_resistance_note_indoor_home_or_office_7077,weight_5736,country_of_origin_3294,pallet_weight_513,package_weight_5950,case_or_master_carton_dimensions_w_x_d_x_h_751,storage_relative_humidity_h_h_1383,pallet_dimensions_w_x_d_x_h_530,media_weight_8650,package_dimensions_w_x_d_x_h_5722,pallet_size_eu_4824,pallet_weight_5693,package_weight_762,operating_temperature_t_t_2020,printing_material_lamination_2047,core_size_5934,quantity_per_pallet_732,printing_media_thickness_1775,fade_resistance_note_indoor_commercial_window_7076,printing_material_opacity_2048,core_size_5935,stacking_number_for_carton_2065,dimensions_wxdxh_49,printing_material_gloss_level_2046,printing_material_shelf_life_2049,printing_material_whiteness_2052,type_finish_2254,roll_dimensions_1707,operating_temperature_t_t_1112,operating_relative_humidity_h_h_703,retail_only_6132,printing_material_brightness_2044,larger_master_carton_dimensions_w_x_d_x_h_487,storage_temperature_t_t_757,pallet_dimensions_w_x_d_x_h_5699,printing_material_lightfastness_home_office_indoor_ink_on_colour_basis_2259,drying_time_printing_media_2114,printing_material_lightfastness_home_office_indoor_uv_ink_2263,weight_94,euro_pallet_weight_3288,printing_material_dry_time_2045,quantity_per_box_2055,width_1649;sku,title,description,short_description,image,url,warranty_info,dimensions_wxdxh_49,operating_temperature_t_t_1112,weight_94,width_1649;sku,title,description,short_description,image,url,warranty_info,dimensions_wxdxh_49,operating_temperature_t_t_1112,weight_94,width_1649;sku,title,description,short_description,image,url,warranty_info,dimensions_wxdxh_49,operating_temperature_t_t_1112,weight_94,width_1649
"network antennas";network_antennas_137;sku,title,description,short_description,image,url,warranty_info,frequency_band_1769,survival_wind_speed_21720,quick_installation_guide_4921,antenna_gain_2_4_ghz_7685,mounting_1867,size_1147,power_requirements_780,maximum_operating_distance_1937,connector_s_1496,unspsc_code_2505,power_consumption_5687,vertical_beam_width_2_4_ghz_7690,cable_type_1280,frequency_range_1498,vertical_beam_width_2997,horizontal_beam_width_2_4_ghz_7687,impedance_1889,package_width_3808,cables_included_1830,type_31,cable_length_1266,antenna_gain_level_max_1804,diameter_2931,gain_2251,weight_5736,country_of_origin_3294,purpose_2585,package_type_4463,package_depth_3806,vertical_beam_width_5_ghz_7689,horizontal_beam_width_2995,depth_1650,quantity_1675,protection_features_8072,storage_relative_humidity_h_h_1383,network_connection_type_1803,colour_of_product_1766,power_handling_2994,housing_material_5214,horizontal_beam_width_5_ghz_7688,network_architecture_70,indoor_range_1589,package_weight_762,outdoor_range_1590,compliance_industry_standards_793,operating_temperature_t_t_2020,gender_3230,package_height_3807,stand_included_10505,manual_3965,polarization_2993,certification_249,modulation_1503,dimensions_wxdxh_49,height_1464,antenna_type_1494,international_protection_ip_code_7900,antenna_gain_5_ghz_7686,operating_relative_humidity_h_h_703,operating_temperature_t_t_1112,maximum_cable_loss_with_connectors_2126,compatible_products_2190,voltage_standing_wave_ratio_vswr_2998,colour_46,mounting_kit_8165,storage_temperature_t_t_757,networking_standards_1802,weight_94,rohs_compliance_6694,antenna_connector_type_2991,width_1649;sku,title,description,short_description,image,url,warranty_info,depth_1650,colour_of_product_1766,dimensions_wxdxh_49,operating_temperature_t_t_1112,colour_46,weight_94,width_1649;sku,title,description,short_description,image,url,warranty_info,depth_1650,colour_of_product_1766,dimensions_wxdxh_49,operating_temperature_t_t_1112,colour_46,weight_94,width_1649;sku,title,description,short_description,image,url,warranty_info,depth_1650,colour_of_product_1766,dimensions_wxdxh_49,operating_temperature_t_t_1112,colour_46,weight_94,width_1649
"cable locks";cable_locks_977;sku,title,description,short_description,image,url,warranty_info,technical_features_2143,size_1147,lock_type_8102,material_898,slot_type_84,compatibility_890,package_dimensions_wxdxh_582,cable_type_1280,package_width_3808,number_of_cartons_per_pallet_1679,number_of_layers_per_pallet_1680,cable_length_1266,weight_5736,country_of_origin_3294,security_lock_1353,package_type_4463,package_depth_3806,functions_2431,colour_of_product_1766,minimum_system_requirements_861,special_features_86,warranty_1448,lock_management_20316,connector_type_7141,package_weight_762,compliance_industry_standards_793,package_height_3807,quantity_per_pallet_732,product_type_14052,cable_diameter_5804,certification_249,weight_14,cable_lock_security_features_8112,dimensions_wxdxh_49,case_or_master_carton_quantity_777,colour_46,larger_master_carton_dimensions_w_x_d_x_h_487,cable_construction_20301,quantity_per_pack_7834,security_features_248,weight_94,dimensions_w_x_d_x_h_5307,number_of_keys_provided_8103;sku,title,description,short_description,image,url,warranty_info,colour_of_product_1766,dimensions_wxdxh_49,colour_46,weight_94;sku,title,description,short_description,image,url,warranty_info,colour_of_product_1766,dimensions_wxdxh_49,colour_46,weight_94;sku,title,description,short_description,image,url,warranty_info,colour_of_product_1766,dimensions_wxdxh_49,colour_46,weight_94
"printers & supplies";printers_supplies_225;sku,title,description,short_description,image,url,warranty_info,power_management_1376,scan_type_537,power_consumption_typical_445,maximum_resolution_1659,printing_colours_2037,enhanced_scan_resolution_737,jetdirect_compatible_products_805,package_length_4932,copy_resolution_black_graphics_741,maximum_number_of_paper_trays_3298,package_dimensions_wxdxh_582,custom_media_sizes_458,copy_resolution_black_text_534,scan_file_formats_2001,package_width_3808,modem_type_1257,standard_output_capacity_846,compatible_operating_systems_2507,supported_network_protocols_557,finished_output_handling_504,print_quality_black_normal_quality_697,fax_speed_a4_492,recommended_media_weight_842,print_technology_78,country_of_origin_3294,standard_input_trays_764,standard_media_sizes_769,compatible_network_operating_systems_742,fax_speed_dialing_max_numbers_2000,package_depth_3806,power_supply_1242,battery_recharge_time_1535,mac_compatibility_853,maximum_input_capacity_for_transparencies_540,battery_type_908,print_speed_colour_best_quality_a4_527,minimum_system_requirements_861,maximum_input_capacity_for_labels_724,standard_printer_languages_459,control_panel_2084,image_scaling_enlargement_range_2006,auto_document_feeder_adf_input_capacity_823,maximum_copy_speed_black_a4_2245,acoustic_pressure_emissions_585,optical_scanning_resolution_727,display_diagonal_944,quantity_per_pallet_732,copy_resolution_colour_text_and_graphics_650,package_weight_10100,duty_cycle_letter_size_maximum_590,maximum_print_length_706,weight_14,recommended_system_requirements_789,dimensions_wxdxh_49,bluetooth_2183,standard_output_capacity_for_envelopes_721,maximum_output_capacity_for_cards_613,maximum_input_capacity_for_cards_516,copy_speed_best_quality_black_a4_646,maximum_dimensions_w_x_d_x_h_669,security_management_description_2060,maximum_number_of_copies_1974,supported_printer_drivers_2041,copy_speed_best_quality_colour_a4_639,print_quality_colour_best_quality_479,bundled_software_251,networking_features_1104,printer_features_2042,technical_features_2143,standard_output_capacity_for_cards_778,non_operating_relative_humidity_non_condensing_621,interface_21,typefaces_680,number_of_print_cartridges_455,copy_speed_normal_quality_black_a4_552,input_capacity_tray_2_600,print_speed_colour_draft_quality_a4_us_letter_460,size_1147,paper_handling_526,power_requirements_780,maximum_output_capacity_637,media_weights_by_paper_path_696,print_quality_black_best_quality_1532,display_resolution_1585,acoustic_power_emissions_647,copy_speed_normal_quality_colour_a4_790,network_ready_786,compatibility_890,print_speed_colour_normal_quality_a4_us_letter_488,maximum_resolution_61,standard_input_capacity_752,colour_faxing_871,input_capacity_for_envelopes_primary_tray_462,media_types_supported_477,all_in_one_multitasking_815,tilt_angle_2077,weight_5736,copier_resize_701,maximum_output_capacity_for_transparencies_467,power_supply_type_514,standard_input_capacity_for_cards_867,maximum_input_capacity_683,scan_input_modes_508,optional_supported_network_operating_systems_725,number_of_power_supply_units_541,pallet_weight_513,maximum_copy_speed_colour_a4_2246,duplex_print_options_564,maximum_scan_size_592,recommended_humidity_operating_range_563,print_quality_colour_draft_quality_631,colour_printing_technology_547,print_speed_black_normal_quality_a4_us_letter_558,language_version_1560,internal_modem_12,compatible_network_management_tools_1967,buffer_size_1451,pallet_dimensions_w_x_d_x_h_530,gray_scale_levels_54,key_benefits_1928,electromagnetic_compatibility_673,i_o_ports_470,optional_connectivity_1530,print_resolution_colour_normal_quality_593,package_weight_762,package_height_3807,energy_star_certified_838,colour_scanning_800,hardware_scan_resolution_699,twain_compliance_interface_490,print_speed_black_best_quality_a4_755,operating_relative_humidity_h_h_703,operating_temperature_t_t_1112,print_speed_black_draft_quality_a4_us_letter_826,memory_description_644,colour_46,recommended_operating_temperature_range_t_t_473,storage_temperature_t_t_757,all_in_one_functions_562,weight_94,print_quality_black_draft_quality_568,maximum_input_capacity_for_envelopes_736,maximum_output_capacity_for_envelopes_603,compatible_ink_types_supplies_705,minimum_system_requirements_for_macintosh_493;sku,title,description,short_description,image,url,warranty_info,printing_colours_2037,print_technology_78,dimensions_wxdxh_49,operating_temperature_t_t_1112,colour_46,weight_94;sku,title,description,short_description,image,url,warranty_info,printing_colours_2037,print_technology_78,dimensions_wxdxh_49,operating_temperature_t_t_1112,colour_46,weight_94;sku,title,description,short_description,image,url,warranty_info,printing_colours_2037,print_technology_78,dimensions_wxdxh_49,operating_temperature_t_t_1112,colour_46,weight_94
"laser toner & cartridges";laser_toner_cartridges_375;sku,title,description,short_description,image,url,warranty_info,technical_features_2143,non_operating_relative_humidity_non_condensing_621,supplies_iso_measurement_6490,size_1147,larger_master_carton_quantity_586,printing_colours_2037,stacking_number_for_pallet_2066,media_sheets_per_package_2012,unspsc_code_2505,package_length_4932,compatibility_890,version_7098,euro_pallet_quantity_3293,package_dimensions_wxdxh_582,gross_weight_outer_carton_5623,package_width_3808,unit_7099,number_of_cartons_per_pallet_1679,type_31,number_of_layers_per_pallet_1680,page_yield_1953,dr_grauert_ecma_132_iso_10561_yields_pages_849,pallet_quantity_4823,weight_5736,quantity_outer_carton_4909,print_technology_78,country_of_origin_3294,cartridge_recollection_5734,supported_media_weight_s_5727,package_type_4463,estimated_number_used_per_year_5738,box_width_4425,capacity_5259,pallet_weight_513,package_depth_3806,package_weight_5950,gross_weight_of_outer_carton_4903,depth_1650,approximate_page_yield_black_iso_iec_19798_5740,quantity_1675,case_or_master_carton_dimensions_w_x_d_x_h_751,page_yield_footnote_1704,storage_relative_humidity_h_h_1383,colour_of_product_1766,pallet_dimensions_w_x_d_x_h_530,dimensions_euro_pallet_w_x_d_x_h_5700,package_dimensions_w_x_d_x_h_5722,larger_master_carton_dimensions_w_x_d_x_h_4426,key_benefits_1928,pallet_weight_5693,pallet_size_eu_4824,package_weight_762,approximate_page_yield_a4_colour_2021,replacement_for_6312,oem_code_15279,operating_temperature_t_t_2020,pallet_stacking_maximum_eu_6069,laser_toner_colour_6343,cartridge_capacity_6273,package_height_3807,quantity_per_pallet_732,package_weight_10100,capacity_cartridge_1656,certification_249,weight_14,stacking_number_for_carton_2065,dimensions_wxdxh_49,height_1464,printing_material_shelf_life_2049,designed_for_use_only_in_5694,brand_compatibility_8156,type_finish_2254,recycling_program_6470,empty_weight_1690,operating_relative_humidity_h_h_703,operating_temperature_t_t_1112,case_or_master_carton_quantity_777,approximate_page_yield_a4_black_white_iso_iec_19752_626,approximate_page_yield_colour_cmy_iso_iec_19798_5739,box_height_4424,retail_only_6132,compatible_products_2190,toner_cartridge_1668,colour_46,box_depth_4422,larger_master_carton_dimensions_w_x_d_x_h_487,print_technology_resolution_1879,technology_2110,print_media_weight_1692,storage_temperature_t_t_757,pallet_dimensions_w_x_d_x_h_5699,case_or_master_carton_weight_486,larger_master_carton_weight_704,weight_94,archival_storage_life_2269,minimum_order_quantity_5730,contents_5659,euro_pallet_weight_3288,quantity_per_box_2055,width_1649,compatible_ink_types_supplies_705;sku,title,description,short_description,image,url,warranty_info,printing_colours_2037,print_technology_78,depth_1650,colour_of_product_1766,dimensions_wxdxh_49,operating_temperature_t_t_1112,colour_46,weight_94,width_1649;sku,title,description,short_description,image,url,warranty_info,printing_colours_2037,print_technology_78,depth_1650,colour_of_product_1766,dimensions_wxdxh_49,operating_temperature_t_t_1112,colour_46,weight_94,width_1649;sku,title,description,short_description,image,url,warranty_info,printing_colours_2037,print_technology_78,depth_1650,colour_of_product_1766,dimensions_wxdxh_49,operating_temperature_t_t_1112,colour_46,weight_94,width_1649
"warranty & support extensions";warranty_support_extensions_788;sku,title,description,short_description,image,url,warranty_info,technical_features_2143,phone_support_8664,number_of_years_3834,response_time_3526,size_1147,service_level_1930,unspsc_code_2505,service_included_1885,package_length_4932,compatibility_890,security_algorithms_454,on_site_support_8665,package_width_3808,number_of_cartons_per_pallet_1679,compatible_operating_systems_2507,number_of_layers_per_pallet_1680,type_31,next_business_day_nbd_6595,software_version_2307,repair_time_5208,weight_5736,geographic_coverage_1927,country_of_origin_3294,box_width_4425,package_depth_3806,exclusions_1925,package_weight_5950,speakers_and_microphone_1695,depth_1650,language_version_1560,colour_of_product_1766,minimum_system_requirements_861,warranty_1448,activation_1924,service_time_days_x_hours_1929,key_benefits_1928,package_weight_762,package_height_3807,quantity_per_pallet_732,purchase_country_2202,package_weight_10100,platform_75,weight_14,dimensions_wxdxh_49,height_1464,license_quantity_1558,case_or_master_carton_quantity_777,box_height_4424,box_depth_4422,larger_master_carton_dimensions_w_x_d_x_h_487,supported_protocols_1064,terms_conditions_1931,additional_accessories_1305,weight_94,width_1649;sku,title,description,short_description,image,url,warranty_info,depth_1650,colour_of_product_1766,dimensions_wxdxh_49,weight_94,width_1649;sku,title,description,short_description,image,url,warranty_info,depth_1650,colour_of_product_1766,dimensions_wxdxh_49,weight_94,width_1649;sku,title,description,short_description,image,url,warranty_info,depth_1650,colour_of_product_1766,dimensions_wxdxh_49,weight_94,width_1649
"computer utilities";computer_utilities_55;sku,title,description,short_description,image,url,warranty_info,minimum_processor_67,license_quantity_1558,license_type_1559,minimum_ram_68,minimum_hard_disk_space_65,processor_front_side_bus_1020,localization_1561,compatibility_890,platform_75,mac_compatibility_853,language_version_1560,weight_14,dimensions_wxdxh_49,minimum_hard_disk_space_66,compatible_operating_systems_2507,media_types_supported_477;sku,title,description,short_description,image,url,warranty_info,dimensions_wxdxh_49;sku,title,description,short_description,image,url,warranty_info,dimensions_wxdxh_49;sku,title,description,short_description,image,url,warranty_info,dimensions_wxdxh_49
